run,run_id,task,arm,step,system,task_text,url,menu_size,s1_operation,s1_op_conf,s1_target,s1_target_conf,alternatives,goal_done,stuck,needs_reasoning,destructive,arbiter_reason,s1_proposed,label,note,audit_label,audit_note
q10-native-dev-20260924,calc-percent-s1_only-8ce79861,calc-percent,s1_only,2,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.94,1,0.68,1 (0.70); All Clear (0.24); Percent (0.05); 2 (0.01); Delete (0.00),0.02,0.07,0.08,0.07,"act: operation 0.94, target 0.68",[],,,,
q10-native-dev-20260924,calc-percent-dual-ba312949,calc-percent,dual,2,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.93,1,0.66,1 (0.68); All Clear (0.24); Percent (0.07); 2 (0.01); Delete (0.00),0.02,0.08,0.07,0.06,"act: operation 0.93, target 0.66",[],,,,
q10-native-dev-20260924,calc-multiply-dual-729a1414,calc-multiply,dual,6,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,1,0.66,1 (0.67); Clear (0.20); Equals (0.12); 2 (0.01); Percent (0.00),0.02,0.39,0.09,0.07,"act: operation 0.98, target 0.66",[],,,,
q10-native-dev-20260924,calc-percent-dual-1597c380,calc-percent,dual,4,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.93,Percent,0.53,Percent (0.55); Clear (0.16); Multiply (0.14); 2 (0.11); 0 (0.01),0.02,0.11,0.1,0.06,"act: operation 0.93, target 0.53",[],,,,
q10-native-dev-20260924,calc-subtract-dual-d258513c,calc-subtract,dual,2,s1,"Clear the calculator, then compute 250 minus 75 and leave the result on the display.",app://Calculator,54,click,0.94,2,0.82,2 (0.83); All Clear (0.15); Subtract (0.01); 5 (0.01); Percent (0.00),0.02,0.08,0.07,0.08,"act: operation 0.94, target 0.82",[],,,,
q10-native-dev-20260924,textedit-type-sentence-dual-18763224,textedit-type-sentence,dual,2,s1,"Type the sentence ""The lantern arrived broken."" into the document.",app://TextEdit,4,done,0.98,,,,0.94,0.07,0.34,0.13,"verification accept: complete p=0.97, max unmet p=0.08",[],,,,
q10-native-dev-20260924,calc-percent-s1_only-a0fb30af,calc-percent,s1_only,3,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.94,5,0.46,5 (0.48); Clear (0.33); 2 (0.08); Percent (0.07); 3 (0.02),0.02,0.11,0.09,0.06,"act: operation 0.94, target 0.46",[],,,,
q10-native-dev-20260924,calc-subtract-dual-d258513c,calc-subtract,dual,10,s2,"Clear the calculator, then compute 250 minus 75 and leave the result on the display.",app://Calculator,54,done,0.87,,,,0.6,0.41,0.4,0.13,"System 2 done refused, verification verify: uncertain: complete p=0.72, max unmet p=0.37; ledger carried 1 requirement(s",[],,,,
q10-native-dev-20260924,textedit-append-and-save-dual-0d073fda,textedit-append-and-save,dual,3,s2,"Add the line ""Second line."" to the end of the document and save it.",app://TextEdit,4,done,0.9,,,,0.59,0.11,0.35,0.08,System 2 menu File > Save,[],,,,
q10-native-dev-20260924,calc-percent-dual-1597c380,calc-percent,dual,18,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.88,0,0.48,0 (0.50); Clear (0.17); 3 (0.12); 2 (0.09); 5 (0.04),0.02,0.57,0.13,0.06,"act: operation 0.88, target 0.48",[],,,,
q10-native-dev-20260924,calc-percent-s1_only-a3a6d193,calc-percent,s1_only,6,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.92,Clear,0.38,Clear (0.40); 3 (0.21); 2 (0.08); Percent (0.06); 0 (0.06),0.02,0.73,0.1,0.07,target_confidence: target confidence 0.38 < 0.45,[],,,,
q10-native-dev-20260924,calc-percent-dual-ba312949,calc-percent,dual,9,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.91,4,0.28,Clear (0.31); 4 (0.25); Equals (0.17); 2 (0.10); 3 (0.08),0.02,0.74,0.16,0.06,retry_alternate: retry_alternate: target confidence 0.28 < 0.45; alternate 27 p=0.25 within 0.15 of chosen p=0.31,[],,,,
q10-native-dev-20260924,calc-read-result-dual-49bdb107,calc-read-result,dual,2,s1,"Clear the calculator, compute 9 times 9 and report the result.",app://Calculator,54,click,0.98,9,0.85,9 (0.86); All Clear (0.14); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.02,0.08,0.15,0.07,"act: operation 0.98, target 0.85",[],,,,
q10-native-dev-20260924,calc-percent-dual-1597c380,calc-percent,dual,5,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.84,2,0.55,2 (0.57); Multiply (0.19); Clear (0.15); Equals (0.04); Percent (0.01),0.02,0.1,0.14,0.06,"act: operation 0.84, target 0.55",[],,,,
q10-native-dev-20260924,calc-percent-s1_only-a0fb30af,calc-percent,s1_only,7,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.9,Clear,0.23,Percent (0.26); Clear (0.25); 0 (0.22); 4 (0.11); Multiply (0.05),0.02,0.72,0.1,0.09,retry_alternate: retry_alternate: target confidence 0.23 < 0.45; alternate 8 p=0.25 within 0.15 of chosen p=0.26,[],,,,
q10-native-dev-20260924,calc-read-result-s1_only-c625d856,calc-read-result,s1_only,5,s1,"Clear the calculator, compute 9 times 9 and report the result.",app://Calculator,54,click,0.95,Equals,0.93,Equals (0.94); Clear (0.06); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.03,0.37,0.27,0.05,"act: operation 0.95, target 0.93",[],,,,
q10-native-dev-20260924,calc-percent-dual-ba312949,calc-percent,dual,13,s2,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.9,All Clear,0.67,All Clear (0.68); 2 (0.13); Equals (0.09); 1 (0.06); 0 (0.02),0.02,0.93,0.11,0.13,"System 2 click [38] (Display shows 15%×, so continue by entering 240 to finish th)",[],,,,
q10-native-dev-20260924,textedit-read-word-count-s1_only-45ea0201,textedit-read-word-count,s1_only,1,s1,Report the second word of the document's only line.,app://TextEdit,4,done,0.46,,,,0.07,0.05,0.9,0.09,done without an answer on an answer task; not verified,[],,,,
q10-native-dev-20260924,calc-subtract-s1_only-5fb794b4,calc-subtract,s1_only,1,s1,"Clear the calculator, then compute 250 minus 75 and leave the result on the display.",app://Calculator,54,click,0.98,All Clear,0.95,All Clear (0.95); 2 (0.05); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.03,0.05,0.06,0.13,"act: operation 0.98, target 0.95",[],,,,
q10-native-dev-20260924,calc-percent-s1_only-a0fb30af,calc-percent,s1_only,8,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.93,All Clear,0.56,All Clear (0.58); Percent (0.11); 1 (0.09); 0 (0.06); 2 (0.04),0.02,0.93,0.09,0.08,stuck: stuck 0.93 >= 0.85 at step 8,[],,,,
q10-native-dev-20260924,calc-subtract-s1_only-f21dc52e,calc-subtract,s1_only,9,s1,"Clear the calculator, then compute 250 minus 75 and leave the result on the display.",app://Calculator,54,done,0.95,,,,0.62,0.25,0.54,0.07,"verification verify: uncertain: complete p=0.73, max unmet p=0.44",[],,,,
q10-native-dev-20260924,textedit-append-and-save-dual-0d073fda,textedit-append-and-save,dual,11,s2,"Add the line ""Second line."" to the end of the document and save it.",app://TextEdit,4,done,0.43,,,,0.24,0.96,0.43,0.07,System 2 hotkey cmd+s,[],,,,
q10-native-dev-20260924,calc-read-result-s1_only-bb087f20,calc-read-result,s1_only,6,s1,"Clear the calculator, compute 9 times 9 and report the result.",app://Calculator,54,done,0.97,,,,0.85,0.26,0.85,0.06,done without an answer on an answer task; not verified,[],,,,
q10-native-dev-20260924,calc-multiply-dual-15967f68,calc-multiply,dual,2,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.97,1,0.7,1 (0.71); All Clear (0.27); 2 (0.01); Multiply (0.01); Percent (0.00),0.02,0.07,0.07,0.08,"act: operation 0.97, target 0.7",[],,,,
q10-native-dev-20260924,calc-read-result-dual-3f9a2fb3,calc-read-result,dual,7,s2,"Clear the calculator, compute 9 times 9 and report the result.",app://Calculator,54,done,0.94,,,,0.75,0.29,0.87,0.07,"System 2 done refused, verification verify: uncertain: complete p=0.49, max unmet p=0.22",[],,,,
q10-native-dev-20260924,textedit-read-word-count-s1_only-d0575e42,textedit-read-word-count,s1_only,1,s1,Report the second word of the document's only line.,app://TextEdit,4,done,0.45,,,,0.07,0.05,0.9,0.1,done without an answer on an answer task; not verified,[],,,,
q10-native-dev-20260924,calc-percent-dual-1597c380,calc-percent,dual,3,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.94,5,0.54,5 (0.55); Clear (0.32); 2 (0.06); Percent (0.04); 3 (0.01),0.02,0.11,0.09,0.07,"act: operation 0.94, target 0.54",[],,,,
q10-native-dev-20260924,calc-percent-dual-ba312949,calc-percent,dual,7,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,54,click,0.92,Clear,0.18,3 (0.21); Clear (0.20); 4 (0.19); Equals (0.14); 0 (0.13),0.02,0.13,0.13,0.05,retry_alternate: retry_alternate: target confidence 0.18 < 0.45; alternate 8 p=0.20 within 0.15 of chosen p=0.21,[],,,,
q10-native-dev-20260924,calc-multiply-dual-1a509c6c,calc-multiply,dual,8,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,done,0.95,,,,0.91,0.39,0.54,0.08,"verification accept: complete p=0.89, max unmet p=0.09",[],,,,
