run,run_id,task,arm,step,system,task_text,url,menu_size,s1_operation,s1_op_conf,s1_target,s1_target_conf,alternatives,goal_done,stuck,needs_reasoning,destructive,arbiter_reason,s1_proposed,executed,executed_target,url_after,result_error,next_reason,verify_band,verify_complete,verify_unmet_max,run_passed,auto_label,label,note
q10b-native-dev-20260924,calc-multiply-dual-3349d1f2,calc-multiply,dual,1,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.99,All Clear,0.94,All Clear (0.95); 1 (0.05); 4 (0.00); Multiply (0.00); 9 (0.00),0.02,0.04,0.06,0.13,"act: operation 0.99, target 0.94","[{""name"": ""click"", ""params"": {""index"": 2, ""label"": ""All Clear""}}]",click,All Clear,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3349d1f2,calc-multiply,dual,2,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.96,1,0.86,1 (0.87); All Clear (0.10); Multiply (0.02); 2 (0.01); 4 (0.00),0.02,0.07,0.07,0.07,"act: operation 0.96, target 0.86","[{""name"": ""click"", ""params"": {""index"": 13, ""label"": ""1""}}]",click,1,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3349d1f2,calc-multiply,dual,3,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.94,2,0.63,2 (0.66); Clear (0.23); Multiply (0.07); 1 (0.03); Equals (0.01),0.02,0.1,0.09,0.07,"act: operation 0.94, target 0.63","[{""name"": ""click"", ""params"": {""index"": 14, ""label"": ""2""}}]",click,2,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3349d1f2,calc-multiply,dual,4,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.97,Multiply,0.87,Multiply (0.88); Clear (0.07); 1 (0.05); 4 (0.00); 9 (0.00),0.02,0.11,0.07,0.07,"act: operation 0.97, target 0.87","[{""name"": ""click"", ""params"": {""index"": 8, ""label"": ""Multiply""}}]",click,Multiply,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3349d1f2,calc-multiply,dual,5,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.98,1,0.91,1 (0.92); Clear (0.06); Equals (0.02); 4 (0.00); Multiply (0.00),0.02,0.09,0.07,0.06,"act: operation 0.98, target 0.91","[{""name"": ""click"", ""params"": {""index"": 13, ""label"": ""1""}}]",click,1,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3349d1f2,calc-multiply,dual,6,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.97,1,0.78,1 (0.79); Equals (0.11); Clear (0.09); 2 (0.01); 4 (0.00),0.02,0.42,0.08,0.06,"act: operation 0.97, target 0.78","[{""name"": ""click"", ""params"": {""index"": 13, ""label"": ""1""}}]",click,1,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3349d1f2,calc-multiply,dual,7,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.95,Equals,0.94,Equals (0.95); Clear (0.05); 4 (0.00); Multiply (0.00); 9 (0.00),0.03,0.46,0.09,0.08,"act: operation 0.95, target 0.94","[{""name"": ""click"", ""params"": {""index"": 20, ""label"": ""Equals""}}]",click,Equals,app://Calculator,,verification accept,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3349d1f2,calc-multiply,dual,8,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,done,0.95,,,,0.94,0.46,0.48,0.09,"verification accept: complete p=0.84, max unmet p=0.10",[],done,,app://Calculator,,,accept,0.84,0.1,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3bbfb013,calc-multiply,dual,1,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.99,All Clear,0.91,All Clear (0.92); 1 (0.08); 4 (0.00); Multiply (0.00); 9 (0.00),0.02,0.04,0.05,0.13,"act: operation 0.99, target 0.91","[{""name"": ""click"", ""params"": {""index"": 2, ""label"": ""All Clear""}}]",click,All Clear,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3bbfb013,calc-multiply,dual,2,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.95,1,0.85,1 (0.86); All Clear (0.11); Multiply (0.02); 2 (0.01); 4 (0.00),0.02,0.07,0.07,0.07,"act: operation 0.95, target 0.85","[{""name"": ""click"", ""params"": {""index"": 13, ""label"": ""1""}}]",click,1,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3bbfb013,calc-multiply,dual,3,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.95,2,0.71,2 (0.73); Clear (0.21); Multiply (0.05); 1 (0.01); 4 (0.00),0.02,0.09,0.1,0.09,"act: operation 0.95, target 0.71","[{""name"": ""click"", ""params"": {""index"": 14, ""label"": ""2""}}]",click,2,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3bbfb013,calc-multiply,dual,4,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.96,Multiply,0.87,Multiply (0.88); Clear (0.08); 1 (0.04); 4 (0.00); 9 (0.00),0.02,0.12,0.08,0.07,"act: operation 0.96, target 0.87","[{""name"": ""click"", ""params"": {""index"": 8, ""label"": ""Multiply""}}]",click,Multiply,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3bbfb013,calc-multiply,dual,5,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.96,1,0.93,1 (0.93); Clear (0.05); Equals (0.01); 4 (0.00); Multiply (0.00),0.02,0.09,0.07,0.06,"act: operation 0.96, target 0.93","[{""name"": ""click"", ""params"": {""index"": 13, ""label"": ""1""}}]",click,1,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3bbfb013,calc-multiply,dual,6,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.97,1,0.81,1 (0.82); Equals (0.10); Clear (0.07); 2 (0.01); 4 (0.00),0.02,0.41,0.09,0.07,"act: operation 0.97, target 0.81","[{""name"": ""click"", ""params"": {""index"": 13, ""label"": ""1""}}]",click,1,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3bbfb013,calc-multiply,dual,7,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.94,Equals,0.94,Equals (0.95); Clear (0.05); 4 (0.00); Multiply (0.00); 9 (0.00),0.03,0.5,0.09,0.07,"act: operation 0.94, target 0.94","[{""name"": ""click"", ""params"": {""index"": 20, ""label"": ""Equals""}}]",click,Equals,app://Calculator,,verification accept,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-3bbfb013,calc-multiply,dual,8,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,done,0.95,,,,0.93,0.48,0.48,0.09,"verification accept: complete p=0.84, max unmet p=0.09",[],done,,app://Calculator,,,accept,0.84,0.09,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-b268f317,calc-multiply,dual,1,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.99,All Clear,0.93,All Clear (0.94); 1 (0.06); 4 (0.00); Multiply (0.00); 9 (0.00),0.02,0.04,0.06,0.13,"act: operation 0.99, target 0.93","[{""name"": ""click"", ""params"": {""index"": 2, ""label"": ""All Clear""}}]",click,All Clear,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-b268f317,calc-multiply,dual,2,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.96,1,0.89,1 (0.91); All Clear (0.05); Multiply (0.03); 2 (0.01); 4 (0.00),0.02,0.07,0.07,0.07,"act: operation 0.96, target 0.89","[{""name"": ""click"", ""params"": {""index"": 13, ""label"": ""1""}}]",click,1,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-b268f317,calc-multiply,dual,3,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.94,2,0.64,2 (0.65); Clear (0.28); Multiply (0.04); 1 (0.02); 4 (0.00),0.02,0.11,0.09,0.1,"act: operation 0.94, target 0.64","[{""name"": ""click"", ""params"": {""index"": 14, ""label"": ""2""}}]",click,2,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-b268f317,calc-multiply,dual,4,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.96,Multiply,0.8,Multiply (0.82); Clear (0.12); 1 (0.06); 4 (0.00); 9 (0.00),0.02,0.12,0.07,0.08,"act: operation 0.96, target 0.8","[{""name"": ""click"", ""params"": {""index"": 8, ""label"": ""Multiply""}}]",click,Multiply,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-b268f317,calc-multiply,dual,5,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.97,1,0.92,1 (0.93); Clear (0.05); Equals (0.02); 4 (0.00); Multiply (0.00),0.02,0.09,0.07,0.05,"act: operation 0.97, target 0.92","[{""name"": ""click"", ""params"": {""index"": 13, ""label"": ""1""}}]",click,1,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-b268f317,calc-multiply,dual,6,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.97,1,0.8,1 (0.81); Equals (0.09); Clear (0.08); 2 (0.01); 4 (0.00),0.02,0.39,0.08,0.07,"act: operation 0.97, target 0.8","[{""name"": ""click"", ""params"": {""index"": 13, ""label"": ""1""}}]",click,1,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-b268f317,calc-multiply,dual,7,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.93,Equals,0.94,Equals (0.95); Clear (0.05); 4 (0.00); Multiply (0.00); 9 (0.00),0.03,0.48,0.09,0.07,"act: operation 0.93, target 0.94","[{""name"": ""click"", ""params"": {""index"": 20, ""label"": ""Equals""}}]",click,Equals,app://Calculator,,verification accept,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-dual-b268f317,calc-multiply,dual,8,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,done,0.94,,,,0.93,0.47,0.43,0.1,"verification accept: complete p=0.86, max unmet p=0.09",[],done,,app://Calculator,,,accept,0.86,0.09,True,right,,
q10b-native-dev-20260924,calc-multiply-s1_only-071b55c7,calc-multiply,s1_only,1,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.99,All Clear,0.94,All Clear (0.95); 1 (0.05); 4 (0.00); Multiply (0.00); 9 (0.00),0.02,0.05,0.05,0.13,"act: operation 0.99, target 0.94","[{""name"": ""click"", ""params"": {""index"": 2, ""label"": ""All Clear""}}]",click,All Clear,app://Calculator,,act,,,,True,right,,
q10b-native-dev-20260924,calc-multiply-s1_only-071b55c7,calc-multiply,s1_only,2,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.95,1,0.87,1 (0.88); All Clear (0.09); Multiply (0.02); 2 (0.01); 4 (0.00),0.02,0.08,0.06,0.08,"act: operation 0.95, target 0.87","[{""name"": ""click"", ""params"": {""index"": 13, ""label"": ""1""}}]",click,1,app://Calculator,,act,,,,True,right,,
