run,run_id,task,arm,step,system,task_text,url,menu_size,s1_operation,s1_op_conf,s1_target,s1_target_conf,alternatives,goal_done,stuck,needs_reasoning,destructive,arbiter_reason,s1_proposed,executed,executed_target,url_after,result_error,next_reason,verify_band,verify_complete,verify_unmet_max,run_passed,auto_label,label,note,label_a,reason_a,label_b,reason_b,model_label
q10-native-dev-20260924,calc-multiply-dual-15967f68,calc-multiply,dual,1,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.99,All Clear,0.95,All Clear (0.96); 1 (0.04); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.02,0.04,0.05,0.16,"act: operation 0.99, target 0.95",[],click,All Clear,app://Calculator,,act,,,,True,right,,,right,"Task says clear first; nothing cleared yet, All Clear is the first step",right,task says clear first; All Clear is the clear key,right
q10-native-dev-20260924,calc-multiply-dual-15967f68,calc-multiply,dual,2,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.97,1,0.7,1 (0.71); All Clear (0.27); 2 (0.01); Multiply (0.01); Percent (0.00),0.02,0.07,0.07,0.08,"act: operation 0.97, target 0.7",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,first digit of 12,right
q10-native-dev-20260924,calc-multiply-dual-15967f68,calc-multiply,dual,3,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.96,2,0.59,2 (0.61); Clear (0.35); Multiply (0.02); 0 (0.01); 1 (0.01),0.02,0.11,0.08,0.08,"act: operation 0.96, target 0.59",[],click,2,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 2",right,second digit of 12,right
q10-native-dev-20260924,calc-multiply-dual-15967f68,calc-multiply,dual,4,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,Multiply,0.75,Multiply (0.77); Clear (0.21); 1 (0.02); Percent (0.00); Delete (0.00),0.02,0.11,0.07,0.07,"act: operation 0.98, target 0.75",[],click,Multiply,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: Multiply",right,operator for 12 times 11,right
q10-native-dev-20260924,calc-multiply-dual-15967f68,calc-multiply,dual,5,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,1,0.77,1 (0.78); Clear (0.20); Equals (0.02); Percent (0.00); Delete (0.00),0.03,0.1,0.07,0.07,"act: operation 0.98, target 0.77",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,first digit of 11,right
q10-native-dev-20260924,calc-multiply-dual-15967f68,calc-multiply,dual,6,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.98,1,0.53,1 (0.55); Clear (0.25); Equals (0.20); Percent (0.00); Delete (0.00),0.02,0.35,0.08,0.06,"act: operation 0.98, target 0.53",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,second digit of 11,right
q10-native-dev-20260924,calc-multiply-dual-15967f68,calc-multiply,dual,7,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.92,Equals,0.93,Equals (0.94); Clear (0.06); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.05,0.43,0.1,0.06,"act: operation 0.92, target 0.93",[],click,Equals,app://Calculator,,verification accept,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: Equals",right,Equals completes 12 x 11,right
q10-native-dev-20260924,calc-multiply-dual-15967f68,calc-multiply,dual,8,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,done,0.96,,,,0.92,0.43,0.52,0.07,"verification accept: complete p=0.86, max unmet p=0.11",[],done,,app://Calculator,,,accept,0.86,0.11,True,right,,,right,"12 x 11 = entered in full; task complete on display, done is right",right,"All Clear,1,2,Multiply,1,1,Equals done; result on display",right
q10-native-dev-20260924,calc-multiply-dual-1a509c6c,calc-multiply,dual,1,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.99,All Clear,0.97,All Clear (0.98); 1 (0.02); Percent (0.00); Delete (0.00); Recall Memory (0.00),0.02,0.04,0.06,0.15,"act: operation 0.99, target 0.97",[],click,All Clear,app://Calculator,,act,,,,True,right,,,right,"Task says clear first; nothing cleared yet, All Clear is the first step",right,task says clear first; All Clear is the clear key,right
q10-native-dev-20260924,calc-multiply-dual-1a509c6c,calc-multiply,dual,2,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,54,click,0.97,1,0.65,1 (0.66); All Clear (0.31); Multiply (0.02); 2 (0.01); Percent (0.00),0.02,0.08,0.06,0.08,"act: operation 0.97, target 0.65",[],click,1,app://Calculator,,act,,,,True,right,,,right,"Next key of 1,2,Multiply,1,1,Equals given prior actions: 1",right,first digit of 12,right
