run,run_id,task,arm,step,system,task_text,url,menu_size,s1_operation,s1_op_conf,s1_target,s1_target_conf,alternatives,goal_done,stuck,needs_reasoning,destructive,arbiter_reason,s1_proposed,label,note,argument_a,completion_a,argument_b,completion_b,audit_label,audit_note
q10b-native-dev-20260924,calc-percent-dual-92e983cb,calc-percent,dual,7,s2,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.85,All Clear,0.39,All Clear (0.43); 2 (0.35); Multiply (0.08); Equals (0.06); 4 (0.04),0.02,0.73,0.11,0.08,System 2 click [2] (Clearing display with All Clear before entering 15% of 240),"[{""name"": ""click"", ""params"": {""index"": 2, ""label"": ""All Clear""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-percent-s1_only-79705101,calc-percent,s1_only,1,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.98,All Clear,0.94,All Clear (0.95); 1 (0.04); Percent (0.01); 4 (0.00); Multiply (0.00),0.02,0.04,0.06,0.09,"act: operation 0.98, target 0.94","[{""name"": ""click"", ""params"": {""index"": 2, ""label"": ""All Clear""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-percent-s1_only-4d9f6a4a,calc-percent,s1_only,3,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.91,5,0.55,5 (0.57); Clear (0.27); Percent (0.07); 2 (0.07); 1 (0.01),0.02,0.1,0.09,0.07,"act: operation 0.91, target 0.55","[{""name"": ""click"", ""params"": {""index"": 10, ""label"": ""5""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-subtract-dual-b7a60279,calc-subtract,dual,7,s1,"Clear the calculator, then compute 250 minus 75 and leave the result on the display.",app://Calculator,24,click,0.96,5,0.91,5 (0.92); Clear (0.06); 7 (0.02); 4 (0.00); Multiply (0.00),0.02,0.11,0.1,0.07,"act: operation 0.96, target 0.91","[{""name"": ""click"", ""params"": {""index"": 10, ""label"": ""5""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-subtract-dual-f0dbe6ed,calc-subtract,dual,7,s1,"Clear the calculator, then compute 250 minus 75 and leave the result on the display.",app://Calculator,24,click,0.98,5,0.92,5 (0.93); Clear (0.05); 7 (0.01); 4 (0.00); Multiply (0.00),0.02,0.09,0.09,0.07,"act: operation 0.98, target 0.92","[{""name"": ""click"", ""params"": {""index"": 10, ""label"": ""5""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-percent-s1_only-79705101,calc-percent,s1_only,3,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.91,5,0.49,5 (0.52); Clear (0.26); 2 (0.13); Percent (0.07); 1 (0.02),0.02,0.09,0.1,0.06,"act: operation 0.91, target 0.49","[{""name"": ""click"", ""params"": {""index"": 10, ""label"": ""5""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-percent-dual-92e983cb,calc-percent,dual,12,s1,"Clear the calculator, then compute 15 percent of 240 using the percent key and leave the result on the display.",app://Calculator,24,click,0.93,1,0.75,1 (0.77); Percent (0.12); 5 (0.06); Equals (0.02); Clear (0.02),0.02,0.62,0.09,0.05,"act: operation 0.93, target 0.75","[{""name"": ""click"", ""params"": {""index"": 13, ""label"": ""1""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,textedit-append-line-s1_only-80fa6ec1,textedit-append-line,s1_only,2,s1,"Add the line ""Second line."" at the end of the document, keeping the first line as it is, and save the document.",app://TextEdit,4,click,0.6,button,0.67,button (0.77); button (0.13); button (0.10),0.2,0.08,0.26,0.08,"act: operation 0.60, target 0.67","[{""name"": ""click"", ""params"": {""index"": 2, ""label"": ""button""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-multiply-dual-3349d1f2,calc-multiply,dual,2,s1,"Clear the calculator, then compute 12 times 11 and leave the result on the display.",app://Calculator,24,click,0.96,1,0.86,1 (0.87); All Clear (0.10); Multiply (0.02); 2 (0.01); 4 (0.00),0.02,0.07,0.07,0.07,"act: operation 0.96, target 0.86","[{""name"": ""click"", ""params"": {""index"": 13, ""label"": ""1""}}]",,,n/a,n/a,n/a,n/a,,
q10b-native-dev-20260924,calc-read-result-s1_only-fd920e39,calc-read-result,s1_only,5,s1,"Clear the calculator, compute 9 times 9 and report the result.",app://Calculator,24,click,0.96,Equals,0.94,Equals (0.95); Clear (0.05); 4 (0.00); Multiply (0.00); 9 (0.00),0.03,0.19,0.3,0.06,"act: operation 0.96, target 0.94","[{""name"": ""click"", ""params"": {""index"": 20, ""label"": ""Equals""}}]",,,n/a,n/a,n/a,n/a,,
