run,run_id,step,operation,target,audit_label,audit_note,audit_reviewer
q10-native-dev-20260924,calc-percent-dual-1597c380,2,click,1,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-1597c380,3,click,5,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-1597c380,4,click,Percent,unclear,"The packet omits the display, retained operator and action effects; percentage and entry-clear state cannot be adjudicated reliably from key names alone.",Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-1597c380,10,click,1,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-1597c380,11,click,5,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-1597c380,12,click,Percent,unclear,"The packet omits the display, retained operator and action effects; percentage and entry-clear state cannot be adjudicated reliably from key names alone.",Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-6b4eae95,2,click,1,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-6b4eae95,3,click,5,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-6b4eae95,4,click,Multiply,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-ba312949,2,click,1,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-ba312949,3,click,5,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-ba312949,4,click,Percent,unclear,"The packet omits the display, retained operator and action effects; percentage and entry-clear state cannot be adjudicated reliably from key names alone.",Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-ba312949,5,click,Multiply,unclear,"The packet omits the display, retained operator and action effects; percentage and entry-clear state cannot be adjudicated reliably from key names alone.",Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-ba312949,6,click,2,unclear,"The packet omits the display, retained operator and action effects; percentage and entry-clear state cannot be adjudicated reliably from key names alone.",Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-ba312949,7,click,Clear,wrong,Clear discards a valid operand prefix without evidence that it was entered incorrectly; an appropriate continuation key exists.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-ba312949,8,click,All Clear,unclear,"The packet omits the display, retained operator and action effects; percentage and entry-clear state cannot be adjudicated reliably from key names alone.",Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-ba312949,9,click,4,unclear,"The packet omits the display, retained operator and action effects; percentage and entry-clear state cannot be adjudicated reliably from key names alone.",Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-ba312949,10,click,Clear,wrong,Clear discards a valid operand prefix without evidence that it was entered incorrectly; an appropriate continuation key exists.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-ba312949,11,click,All Clear,unclear,"The packet omits the display, retained operator and action effects; percentage and entry-clear state cannot be adjudicated reliably from key names alone.",Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-ba312949,12,click,Clear,wrong,Clear discards a valid operand prefix without evidence that it was entered incorrectly; an appropriate continuation key exists.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-ba312949,13,click,All Clear,right,All Clear is reasonable recovery from the disrupted repeated entry-clear sequence; distinguish from redundant entry clearing.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-ba312949,14,click,Clear,wrong,Clear discards a valid operand prefix without evidence that it was entered incorrectly; an appropriate continuation key exists.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-dual-ba312949,15,click,All Clear,unclear,"The packet omits the display, retained operator and action effects; percentage and entry-clear state cannot be adjudicated reliably from key names alone.",Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-s1_only-8ce79861,2,click,1,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-s1_only-8ce79861,3,click,5,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-s1_only-a0fb30af,2,click,1,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-s1_only-a0fb30af,3,click,5,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-s1_only-a0fb30af,4,click,Clear,wrong,Clear discards a valid operand prefix without evidence that it was entered incorrectly; an appropriate continuation key exists.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-s1_only-a3a6d193,2,click,1,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-s1_only-a3a6d193,3,click,5,right,A prefix beginning with 15 can lead to a valid product (for example 15 times 240 then Percent); the task does not require the oracle order.,Codex AI; supplemental non-blinded review
q10-native-dev-20260924,calc-percent-s1_only-a3a6d193,4,click,Clear,wrong,Clear discards a valid operand prefix without evidence that it was entered incorrectly; an appropriate continuation key exists.,Codex AI; supplemental non-blinded review
